iter	Passed	Remaining
524	66192	59888
525	66314	59759
526	66447	59638
527	66573	59513
528	66706	59393
529	66822	59257
530	66955	59138
531	67081	59011
532	67205	58883
533	67332	58758
534	67462	58635
535	67586	58507
536	67711	58381
537	67850	58265
538	67972	58136
539	68101	58012
540	68208	57870
541	68333	57742
542	68455	57613
543	68589	57494
544	68703	57358
545	68821	57225
546	68950	57101
547	69066	56966
548	69194	56842
549	69308	56706
550	69420	56569
551	69539	56437
552	69670	56315
553	69796	56190
554	69914	56057
555	70057	55944
556	70179	55816
557	70302	55687
558	70425	55558
559	70547	55429
560	70672	55303
561	70786	55167
562	70913	55042
563	71025	54906
564	71139	54771
565	71268	54647
566	71387	54516
567	71512	54389
568	71633	54260
569	71756	54132
570	71888	54011
571	72012	53883
572	72134	53754
573	72275	53639
574	72399	53512
575	72540	53397
576	72666	53271
577	72783	53139
578	72902	53008
579	73031	52884
580	73162	52762
581	73290	52638
582	73419	52514
583	73542	52386
584	73667	52259
585	73775	52121
586	73898	51993
587	74016	51861
588	74124	51723
589	74244	51593
590	74372	51469
591	74497	51343
592	74628	51220
593	74748	51090
594	74860	50955
595	75000	50839
596	75139	50722
597	75257	50590
598	75376	50460
599	75502	50334
600	75618	50202
601	75741	50074
602	75872	49952
603	75999	49827
604	76139	49711
605	76262	49582
606	76398	49463
607	76525	49338
608	76648	49211
609	76771	49083
610	76898	48958
611	77002	48818
612	77122	48689
613	77247	48562
614	77379	48440
615	77501	48312
616	77627	48187
617	77767	48069
618	77890	47942
619	78015	47815
620	78150	47695
621	78266	47563
622	78388	47435
623	78517	47311
624	78652	47191
625	78784	47069
626	78906	46941
627	79033	46816
628	79154	46687
629	79278	46560
630	79406	46435
631	79534	46311
632	79663	46187
633	79807	46072
634	79946	45953
635	80076	45829
636	80200	45702
637	80318	45572
638	80454	45452
639	80588	45331
640	80709	45202
641	80847	45083
642	80969	44954
643	81099	44831
644	81221	44703
645	81332	44569
646	81464	44446
647	81588	44319
648	81735	44205
649	81870	44083
650	81989	43954
651	82121	43831
652	82245	43704
653	82372	43579
654	82514	43461
655	82679	43356
656	82801	43228
657	82922	43099
658	83053	42976
659	83182	42851
660	83298	42720
661	83425	42594
662	83540	42463
663	83662	42335
664	83795	42212
665	83931	42091
666	84056	41965
667	84171	41833
668	84285	41701
669	84396	41568
670	84525	41443
671	84652	41318
672	84763	41185
673	84881	41055
674	85009	40930
675	85138	40806
676	85274	40685
677	85404	40560
678	85525	40432
679	85650	40306
680	85773	40178
681	85896	40051
682	86023	39926
683	86151	39801
684	86264	39669
685	86391	39543
686	86516	39417
687	86659	39299
688	86777	39169
689	86900	39042
690	87041	38922
691	87162	38794
692	87284	38667
693	87404	38538
694	87544	38418
695	87677	38295
696	87795	38166
697	87913	38037
698	88034	37909
699	88148	37777
700	88275	37652
701	88407	37529
702	88531	37402
703	88646	37271
704	88765	37142
705	88872	37009
706	88996	36882
707	89118	36755
708	89258	36635
709	89370	36503
710	89504	36380
711	89617	36249
712	89748	36126
713	89863	35995
714	89978	35865
715	90104	35739
716	90229	35613
717	90347	35484
718	90486	35364
719	90601	35233
720	90721721	908721	90855	34982
722	90980	34857
723	91096	34727
724	91223	34602
725	91349	34476
726	91480	34352
727	91607	34226
728	91729	34099
729	91845	33970
730	91969	33843
731	92082	33713
732	92197733	923733	92316734	924734	92437735	926735	92567736	927736	92703737	928737	92828738	930738	92965739	931739	93090740	932740	93217741	933741	93339742	935742	93448743	936743	93567744	937744	93703745	938745	93812746	939746	93926747	941747	94052748	942748	94176749	943749	94293750	945750	94410751	946751	94525752	947752	94639753	948753	94774754	950754	94885755	95160	30713
756	95286	30587
757	95401	30457
758	95541	30336
759	95665	30210
760	95788	30083
761	95902	29953
762	96017	29824
763	96154	29702
764	96277	29575
765	96388	29445
766	964766	96341767	96635	29191
768	967768	96593769	968769	96705770	969770	96821771	97120	28683
772	97240	28555
773	97351	28425
774	97474	28298
775	97611	28176
776	97732	28049
777	97863	27925
778	97988	27799
779	980779	97939780	982780	98067781	983781	98207782	984782	98322783	98637	27175
784	98772	27052
785	98898	26926
786	99016	26798
787	99140	26672
788	99268	26547
789	99387	26419
790	99497	26289
791	99626	26164
792	997792	99587793	998793	99731794	999794	99854795	100795	99973	796	100253	25535
797	100381	25409
798	100509	25284
799	100635	25158
800	100764	25033
801	100882	24906
802	100991	24776
803	101123	24651
804	101239	24523
805	101365	24398
806	101488	24271
807	101626	24148
808	101766	24026
809	101886	23899
810	102014	23774
811	102139	23647
812	102266	23522
813	102385	23395
814	102507	23268
815	102639	23144
816	102753	23015
817	102877	22889
818	102997	22762
819	103135	22639
