iter	Passed	Remaining
502	4088475	4039706
503	4094279	4029290
504	4099705	4018522
505	4105543	4008179
506	4112194	3998642
507	4118123	3988418
508	4124409	3978556
509	4130607	3968622
510	4136313	3958233
511	4142565	3948382
512	4149308	3939012
513	4155356	3928994
514	4161235	3918833
515	4167995	3909515
516	4173507	3899040
517	4178705	3888293
518	4184896	3878487
519	4190603	3868249
520	4195386	3857178
521	4202023	3847829
522	4207759	3837669
523	4214403	3828351
524	4219524	3817665
525	4225194	3807495
526	4231258	3797694
527	4237159	3787763
528	4242687	3777515
529	4248961	3767947
530	4254722	3757937
531	4260585	3748033
532	4266481	3738174
533	4271891	3727905
534	4278176	3718414
535	4283811	3708374
536	4290394	3699166
537	4296325	3689409
538	4301779	3679258
539	4306340	3668364
540	4312641	3658969
541	4318988	3649625
542	4324925	3639946
543	4330956	3630360
544	4336257	3620178
545	4342712	3610973
546	4349106	3601728
547	4354624	3591770
548	4361730	3583133
549	4367714	3573584
550	4373694	3564045
551	4380768	3555406
552	4386970	3546068
553	4393875	3537308
554	4400183	3528074
555	4406570	3518915
556	4413410	3510127
557	4419821	3501005
558	4425851	3491592
559	4433104	3483153
560	4439326	3473911
561	4445430	3464588
562	4450976	3454843
563	4457153	3445600
564	4463232	3436294
565	4469811	3427381
566	4476537	3418590
567	4482702	3409379
568	4488518	3399914
569	4494570	3390640
570	4500687	3381427
571	4506586	3372060
572	4512771	3362920
573	4519139	3353925
574	4525541	3344965
575	4531763	3335881
576	4537996	3326815
577	4544119	3317679
578	4549966	3308351
579	4556542	3299565
580	4561797	3289833
581	4567141	3280180
582	4572939	3270867
583	4578894	3261678
584	4585140	3252706
585	4591034	3243495
586	4596289	3233845
587	4602212	3224679
588	4608565	3215824
589	4614889	3206957
590	4620949	3197915
591	4627513	3189232
592	4633138	3179911
593	4638983	3170753
594	4644972	3161703
595	4651427	3152981
596	4657228	3143824
597	4662867	3134569
598	4669170	3125771
599	4675595	3117063
600	4681691	3108144
601	4688060	3099415
602	4694877	3090989
603	4701281	3082297
604	4707113	3073239
605	4713129	3064311
606	4719787	3055809
607	4726362	3047259
608	4732493	3038431
609	4738055	3029248
610	4744592	3020698
611	4750666	3011860
612	4756264	3002731
613	4762851	2994235
614	4768337	2985056
615	4775086	2976677
616	4781435	2968055
617	4788029	2959590
618	4793748	2950595
619	4799696	2941749
620	4805447	2932793
621	4812034	2924355
622	4817169	2915044
623	4822897	2906104
624	4829236	2897542
625	4834632	2888422
626	4840840	2879798
627	4846977	2871139
628	4852886	2862354
629	4858628	2853480
630	4864171	2844499
631	4870404	2835931
632	4876246	2827144
633	4882095	2818370
634	4887221	2809190
635	4892775	2800267
636	4898335	2791359
637	4904268	2782672
638	4910023	2773894
639	4915268	2764838
640	4920958	2756044
641	4927307	2747626
642	4933261	2738996
643	4939388	2730469
644	4945243	2721800
645	4951210	2713201
646	4957182	2704614
647	4963167	2696041
648	4968467	2687106
649	4974643	2678654
650	4980951	2670279
651	4987709	2662151
652	4993785	2653665
653	4999434	2644960
654	5005708	2636594
655	5012250	2628375
656	5018834	2620183
657	5025497	2612036
658	5030975	2603281
659	5037283	2594964
660	5044020	2586872
661	5049765	2578279
662	5055692	2569786
663	5061614	2561299
664	5068404	2553256
665	5073676	2544456
